LAT,LON,LEVEL,DATE,TIME,VALUE
42.645195,16.664116,0,20230507,12,290.3211
42.644367,16.694557,0,20230507,12,290.2846
42.643529,16.724998,0,20230507,12,290.2524
42.642683,16.755437,0,20230507,12,290.2583
42.641828,16.785876,0,20230507,12,290.2668
42.640964,16.816314,0,20230507,12,290.26
42.640092,16.846751,0,20230507,12,290.2464
42.639211,16.877187,0,20230507,12,290.2388
42.638321,16.907622,0,20230507,12,290.2456
42.637422,16.938056,0,20230507,12,290.2481
42.636514,16.968489,0,20230507,12,290.2311
42.635598,16.998921,0,20230507,12,290.2277
42.634673,17.029352,0,20230507,12,290.2617
42.633739,17.059782,0,20230507,12,290.2897
42.632797,17.090211,0,20230507,12,290.3024
42.631846,17.120639,0,20230507,12,290.3143
42.630886,17.151066,0,20230507,12,290.3288
42.629917,17.181493,0,20230507,12,290.3491
42.62894,17.211918,0,20230507,12,290.3687
42.627953,17.242342,0,20230507,12,290.3831
42.626958,17.272765,0,20230507,12,290.3805
42.625955,17.303186,0,20230507,12,290.361
42.624942,17.333607,0,20230507,12,290.3423
42.623921,17.364027,0,20230507,12,290.3449
42.622891,17.394446,0,20230507,12,290.3466
42.621852,17.424863,0,20230507,12,290.3364
42.620805,17.45528,0,20230507,12,290.3551
42.619749,17.485695,0,20230507,12,290.4086
42.618684,17.516109,0,20230507,12,290.4544
42.61761,17.546522,0,20230507,12,290.49
42.616528,17.576934,0,20230507,12,290.5435
42.615436,17.607345,0,20230507,12,290.6055
42.614337,17.637755,0,20230507,12,290.6624
42.613228,17.668163,0,20230507,12,290.7252
42.61211,17.69857,0,20230507,12,290.7744
42.610984,17.728976,0,20230507,12,290.7897
42.609849,17.759381,0,20230507,12,290.7243
42.608706,17.789785,0,20230507,12,290.7006
42.607554,17.820187,0,20230507,12,290.7031
42.606392,17.850589,0,20230507,12,290.687
42.605223,17.880989,0,20230507,12,290.6293
42.604044,17.911387,0,20230507,12,290.5605
42.602857,17.941785,0,20230507,12,290.5197
42.601661,17.972181,0,20230507,12,290.5681
42.600456,18.002576,0,20230507,12,290.6318
42.599242,18.03297,0,20230507,12,290.6564
42.59802,18.063362,0,20230507,12,290.7116
42.596789,18.093753,0,20230507,12,290.8381
42.59555,18.124143,0,20230507,12,290.9094
42.594301,18.154531,0,20230507,12,291.2353
42.593044,18.184918,0,20230507,12,291.5205
42.591778,18.215304,0,20230507,12,297.3419
42.590503,18.245689,0,20230507,12,313.7365
42.58922,18.276072,0,20230507,12,307.6689
42.587928,18.306453,0,20230507,12,309.7113
42.586627,18.336834,0,20230507,12,305.3142
42.585318,18.367213,0,20230507,12,301.8051
42.583999,18.39759,0,20230507,12,304.3109
42.582672,18.427966,0,20230507,12,303.3449
42.581337,18.458341,0,20230507,12,301.8705
42.579992,18.488714,0,20230507,12,295.3573
42.578639,18.519086,0,20230507,12,292.7505
42.577277,18.549457,0,20230507,12,292.2106
42.575907,18.579826,0,20230507,12,291.7735
42.574527,18.610193,0,20230507,12,296.7562
42.573139,18.640559,0,20230507,12,299.8562
42.571742,18.670924,0,20230507,12,301.5556
42.570337,18.701287,0,20230507,12,304.0953
42.568923,18.731649,0,20230507,12,304.6903
42.5675,18.762009,0,20230507,12,305.9882
42.566068,18.792367,0,20230507,12,307.9321
42.564628,18.822724,0,20230507,12,312.4029
42.563179,18.85308,0,20230507,12,312.6797
42.561721,18.883434,0,20230507,12,311.5558
42.560254,18.913787,0,20230507,12,308.2988
42.558779,18.944137,0,20230507,12,309.5406
42.557295,18.974487,0,20230507,12,304.7472
42.555803,19.004835,0,20230507,12,304.1445
42.554301,19.035181,0,20230507,12,301.8535
42.552791,19.065525,0,20230507,12,306.096
42.551272,19.095868,0,20230507,12,309.8929
42.549745,19.12621,0,20230507,12,308.494
42.548209,19.156549,0,20230507,12,316.1396
42.546664,19.186888,0,20230507,12,318.8423
42.54511,19.217224,0,20230507,12,313.1678
42.543548,19.247559,0,20230507,12,305.1343
42.541977,19.277892,0,20230507,12,307.264
42.540397,19.308224,0,20230507,12,305.1903
